1675256759.488988 client started (90553): version 3.3a, socket /private/tmp/tmux-779859574/default, protocol 8
1675256759.489025 on Darwin 22.2.0 Darwin Kernel Version 22.2.0: Fri Nov 11 02:08:47 PST 2022; root:xnu-8792.61.2~4/RELEASE_X86_64
1675256759.489042 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1675256759.489068 flags are 0x10010000
1675256759.489079 socket is /private/tmp/tmux-779859574/default
1675256759.489089 trying connect
1675256759.489163 add peer 0x7fed68008000: 6 (0x0)
1675256759.491087 sending message 100 to peer 0x7fed68008000 (4 bytes)
1675256759.491108 sending message 111 to peer 0x7fed68008000 (8 bytes)
1675256759.491116 sending message 101 to peer 0x7fed68008000 (15 bytes)
1675256759.491123 sending message 109 to peer 0x7fed68008000 (4 bytes)
1675256759.491129 sending message 102 to peer 0x7fed68008000 (13 bytes)
1675256759.491136 sending message 108 to peer 0x7fed68008000 (32 bytes)
1675256759.491142 sending message 112 to peer 0x7fed68008000 (58 bytes)
1675256759.491148 sending message 112 to peer 0x7fed68008000 (5 bytes)
1675256759.491155 sending message 112 to peer 0x7fed68008000 (5 bytes)
1675256759.491161 sending message 112 to peer 0x7fed68008000 (6 bytes)
1675256759.491167 sending message 112 to peer 0x7fed68008000 (6 bytes)
1675256759.491173 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491180 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491186 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491192 sending message 112 to peer 0x7fed68008000 (14 bytes)
1675256759.491198 sending message 112 to peer 0x7fed68008000 (19 bytes)
1675256759.491204 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491210 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491216 sending message 112 to peer 0x7fed68008000 (15 bytes)
1675256759.491222 sending message 112 to peer 0x7fed68008000 (21 bytes)
1675256759.491228 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491248 sending message 112 to peer 0x7fed68008000 (7 bytes)
1675256759.491254 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491260 sending message 112 to peer 0x7fed68008000 (7 bytes)
1675256759.491266 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491272 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491277 sending message 112 to peer 0x7fed68008000 (21 bytes)
1675256759.491283 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491289 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491295 sending message 112 to peer 0x7fed68008000 (16 bytes)
1675256759.491301 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491307 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491313 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491319 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491325 sending message 112 to peer 0x7fed68008000 (8 bytes)
1675256759.491331 sending message 112 to peer 0x7fed68008000 (8 bytes)
1675256759.491337 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491342 sending message 112 to peer 0x7fed68008000 (7 bytes)
1675256759.491348 sending message 112 to peer 0x7fed68008000 (7 bytes)
1675256759.491354 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491360 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491366 sending message 112 to peer 0x7fed68008000 (15 bytes)
1675256759.491372 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491378 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491384 sending message 112 to peer 0x7fed68008000 (8 bytes)
1675256759.491390 sending message 112 to peer 0x7fed68008000 (14 bytes)
1675256759.491396 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491402 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491407 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491413 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491419 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491436 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491441 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491445 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491448 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491452 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491456 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491460 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491464 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491470 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491474 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491478 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491482 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491486 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491489 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491493 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491497 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491501 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491505 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491508 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491512 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491516 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491520 sending message 112 to peer 0x7fed68008000 (8 bytes)
1675256759.491524 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491528 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491531 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491535 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491539 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491543 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491547 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491551 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491554 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491558 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491562 sending message 112 to peer 0x7fed68008000 (8 bytes)
1675256759.491566 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491570 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491573 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491577 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491581 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491585 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491589 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491592 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491596 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491600 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491604 sending message 112 to peer 0x7fed68008000 (8 bytes)
1675256759.491608 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491611 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491615 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491619 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491623 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491627 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491631 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491634 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491638 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491642 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491646 sending message 112 to peer 0x7fed68008000 (8 bytes)
1675256759.491650 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491653 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491665 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491669 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491673 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491677 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491681 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491684 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491688 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491692 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491696 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491700 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491704 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491707 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491711 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491715 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491719 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491724 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491728 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491732 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491736 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491740 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491744 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491749 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491753 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491757 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491761 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491765 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491769 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491772 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491776 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491780 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491784 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491788 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491792 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491796 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491799 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491803 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491807 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491811 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491815 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491818 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491822 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491828 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491832 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491861 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491865 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491869 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491873 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491877 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491881 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.491899 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491903 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491907 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491911 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491915 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491918 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491922 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491933 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.491937 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491941 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491945 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491949 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491952 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491956 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491960 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491964 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491968 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491971 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491975 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491979 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491983 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.491987 sending message 112 to peer 0x7fed68008000 (11 bytes)
1675256759.491991 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491995 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.491998 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.492002 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.492006 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.492010 sending message 112 to peer 0x7fed68008000 (21 bytes)
1675256759.492014 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.492018 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.492023 sending message 112 to peer 0x7fed68008000 (6 bytes)
1675256759.492027 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.492031 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.492035 sending message 112 to peer 0x7fed68008000 (24 bytes)
1675256759.492038 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.492042 sending message 112 to peer 0x7fed68008000 (9 bytes)
1675256759.492046 sending message 112 to peer 0x7fed68008000 (70 bytes)
1675256759.492050 sending message 112 to peer 0x7fed68008000 (69 bytes)
1675256759.492054 sending message 112 to peer 0x7fed68008000 (12 bytes)
1675256759.492058 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.492062 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.492065 sending message 112 to peer 0x7fed68008000 (24 bytes)
1675256759.492069 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.492073 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.492077 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.492081 sending message 112 to peer 0x7fed68008000 (10 bytes)
1675256759.492085 sending message 112 to peer 0x7fed68008000 (13 bytes)
1675256759.492088 sending message 112 to peer 0x7fed68008000 (15 bytes)
1675256759.492092 sending message 112 to peer 0x7fed68008000 (5 bytes)
1675256759.492097 sending message 104 to peer 0x7fed68008000 (0 bytes)
1675256759.492102 sending message 110 to peer 0x7fed68008000 (0 bytes)
1675256759.492106 sending message 107 to peer 0x7fed68008000 (4 bytes)
1675256759.492110 sending message 105 to peer 0x7fed68008000 (83 bytes)
1675256759.492114 sending message 105 to peer 0x7fed68008000 (87 bytes)
1675256759.492118 sending message 105 to peer 0x7fed68008000 (36 bytes)
1675256759.492122 sending message 105 to peer 0x7fed68008000 (20 bytes)
1675256759.492125 sending message 105 to peer 0x7fed68008000 (22 bytes)
1675256759.492129 sending message 105 to peer 0x7fed68008000 (12 bytes)
1675256759.492133 sending message 105 to peer 0x7fed68008000 (22 bytes)
1675256759.492137 sending message 105 to peer 0x7fed68008000 (15 bytes)
1675256759.492141 sending message 105 to peer 0x7fed68008000 (8 bytes)
1675256759.492144 sending message 105 to peer 0x7fed68008000 (18 bytes)
1675256759.492148 sending message 105 to peer 0x7fed68008000 (32 bytes)
1675256759.492152 sending message 105 to peer 0x7fed68008000 (54 bytes)
1675256759.492163 sending message 105 to peer 0x7fed68008000 (101 bytes)
1675256759.492167 sending message 105 to peer 0x7fed68008000 (82 bytes)
1675256759.492171 sending message 105 to peer 0x7fed68008000 (57 bytes)
1675256759.492175 sending message 105 to peer 0x7fed68008000 (16 bytes)
1675256759.492179 sending message 105 to peer 0x7fed68008000 (30 bytes)
1675256759.492183 sending message 105 to peer 0x7fed68008000 (66 bytes)
1675256759.492186 sending message 105 to peer 0x7fed68008000 (39 bytes)
1675256759.492190 sending message 105 to peer 0x7fed68008000 (10 bytes)
1675256759.492194 sending message 105 to peer 0x7fed68008000 (12 bytes)
1675256759.492198 sending message 105 to peer 0x7fed68008000 (11 bytes)
1675256759.492202 sending message 105 to peer 0x7fed68008000 (1066 bytes)
1675256759.492206 sending message 105 to peer 0x7fed68008000 (36 bytes)
1675256759.492210 sending message 105 to peer 0x7fed68008000 (24 bytes)
1675256759.492214 sending message 105 to peer 0x7fed68008000 (15 bytes)
1675256759.492231 sending message 105 to peer 0x7fed68008000 (8 bytes)
1675256759.492235 sending message 105 to peer 0x7fed68008000 (66 bytes)
1675256759.492239 sending message 105 to peer 0x7fed68008000 (20 bytes)
1675256759.492242 sending message 105 to peer 0x7fed68008000 (18 bytes)
1675256759.492246 sending message 105 to peer 0x7fed68008000 (26 bytes)
1675256759.492250 sending message 105 to peer 0x7fed68008000 (57 bytes)
1675256759.492253 sending message 105 to peer 0x7fed68008000 (49 bytes)
1675256759.492257 sending message 105 to peer 0x7fed68008000 (13 bytes)
1675256759.492261 sending message 105 to peer 0x7fed68008000 (57 bytes)
1675256759.492265 sending message 105 to peer 0x7fed68008000 (15 bytes)
1675256759.492268 sending message 105 to peer 0x7fed68008000 (25 bytes)
1675256759.492272 sending message 105 to peer 0x7fed68008000 (14 bytes)
1675256759.492276 sending message 105 to peer 0x7fed68008000 (19 bytes)
1675256759.492282 sending message 105 to peer 0x7fed68008000 (32 bytes)
1675256759.492286 sending message 105 to peer 0x7fed68008000 (22 bytes)
1675256759.492290 sending message 105 to peer 0x7fed68008000 (35 bytes)
1675256759.492293 sending message 105 to peer 0x7fed68008000 (32 bytes)
1675256759.492297 sending message 105 to peer 0x7fed68008000 (22 bytes)
1675256759.492301 sending message 106 to peer 0x7fed68008000 (0 bytes)
1675256759.492356 sending message 200 to peer 0x7fed68008000 (4 bytes)
1675256759.492392 client loop enter
1675256759.492732 peer 0x7fed68008000 message 303
1675256759.492755 open write file 2 -
1675256759.492825 sending message 305 to peer 0x7fed68008000 (8 bytes)
1675256759.492848 write check file 2
1675256759.492954 peer 0x7fed68008000 message 304
1675256759.492963 write 58 to file 2
1675256759.492986 peer 0x7fed68008000 message 203
1675256759.492991 file 2 58 bytes left
1675256759.493005 write check file 2
1675256759.493029 client loop exit
